IPCA - variação % - Mediana - Mensal - Período de 01/01/2003 a 31/12/2004 para jan/2003 a dez/2005
Data;jan/2003;fev/2003;mar/2003;abr/2003;mai/2003;jun/2003;jul/2003;ago/2003;set/2003;out/2003;nov/2003;dez/2003;jan/2004;fev/2004;mar/2004;abr/2004;mai/2004;jun/2004;jul/2004;ago/2004;set/2004;out/2004;nov/2004;dez/2004;jan/2005;fev/2005;mar/2005;abr/2005;mai/2005;jun/2005;jul/2005;ago/2005;set/2005;out/2005;nov/2005;dez/2005;
02/01/2003;1,49;0,90;0,70;0,79;0,80;0,90;1,35;1,00;0,70;0,75;0,75;0,80;0,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/01/2003;1,57;0,95;0,71;0,77;0,77;0,91;1,35;0,93;0,70;0,75;0,75;0,80;0,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/01/2003;1,65;1,00;0,75;0,75;0,77;0,91;1,40;1,00;0,70;0,74;0,75;0,75;0,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/01/2003;1,75;1,00;0,75;0,75;0,77;0,91;1,40;1,00;0,70;0,74;0,75;0,73;0,76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/01/2003;1,75;1,00;0,71;0,72;0,77;0,91;1,40;1,00;0,70;0,74;0,75;0,73;0,77; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/01/2003;1,75;1,00;0,72;0,74;0,76;0,91;1,40;1,00;0,70;0,74;0,75;0,73;0,76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/01/2003;1,78;1,00;0,71;0,72;0,76;0,90;1,40;1,00;0,70;0,72;0,75;0,70;0,76;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/01/2003;1,80;1,00;0,72;0,73;0,75;0,89;1,33;0,91;0,70;0,70;0,74;0,70;0,77;0,60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/01/2003;1,80;1,00;0,71;0,71;0,75;0,90;1,38;0,90;0,70;0,70;0,75;0,70;0,72;0,60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/01/2003;1,80;1,03;0,70;0,70;0,74;0,89;1,35;0,90;0,70;0,70;0,75;0,70;0,71;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/01/2003;1,80;1,02;0,70;0,70;0,75;0,88;1,38;0,90;0,70;0,70;0,74;0,70;0,70;0,53; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/01/2003;1,80;1,08;0,70;0,69;0,73;0,88;1,35;0,90;0,70;0,70;0,75;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
20/01/2003;1,80;1,10;0,70;0,69;0,70;0,89;1,40;0,90;0,70;0,72;0,75;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
21/01/2003;1,81;1,10;0,70;0,68;0,70;0,90;1,40;0,90;0,70;0,74;0,77;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
22/01/2003;1,81;1,09;0,70;0,67;0,70;0,90;1,40;0,90;0,70;0,72;0,75;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
23/01/2003;1,81;1,09;0,70;0,65;0,70;0,90;1,40;0,90;0,70;0,72;0,80;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
24/01/2003;1,85;1,08;0,70;0,65;0,70;0,90;1,40;0,90;0,70;0,72;0,79;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
27/01/2003;1,88;1,10;0,70;0,66;0,70;0,90;1,40;0,90;0,70;0,73;0,79;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
28/01/2003;1,90;1,10;0,70;0,66;0,70;0,90;1,40;0,90;0,70;0,73;0,78;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
29/01/2003;1,90;1,10;0,70;0,66;0,70;0,90;1,40;0,90;0,70;0,70;0,78;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
30/01/2003;1,90;1,10;0,70;0,65;0,70;0,85;1,40;0,90;0,70;0,70;0,75;0,70;0,70;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
31/01/2003;1,90;1,10;0,70;0,65;0,70;0,85;1,40;0,90;0,70;0,70;0,75;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/02/2003;1,90;1,10;0,70;0,65;0,70;0,85;1,40;0,90;0,70;0,70;0,75;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/02/2003;1,90;1,10;0,70;0,65;0,70;0,85;1,40;0,90;0,70;0,70;0,75;0,70;0,70;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/02/2003;1,95;1,10;0,70;0,65;0,70;0,85;1,40;0,90;0,70;0,70;0,75;0,70;0,70;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/02/2003;2,00;1,15;0,70;0,67;0,70;0,82;1,40;0,90;0,70;0,70;0,74;0,70;0,70;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/02/2003;2,00;1,20;0,70;0,67;0,70;0,80;1,44;0,90;0,70;0,70;0,71;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/02/2003;2,03;1,20;0,70;0,68;0,70;0,80;1,43;0,90;0,70;0,70;0,72;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/02/2003;2,05;1,20;0,70;0,66;0,70;0,80;1,45;0,90;0,70;0,70;0,72;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/02/2003;2,05;1,20;0,70;0,67;0,70;0,80;1,44;0,90;0,70;0,70;0,74;0,70;0,70;0,54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/02/2003; ;1,20;0,70;0,68;0,70;0,80;1,45;0,90;0,70;0,70;0,71;0,70;0,70;0,55;0,60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/02/2003; ;1,27;0,75;0,66;0,67;0,80;1,41;0,88;0,65;0,70;0,72;0,70;0,70;0,55;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/02/2003; ;1,31;0,76;0,67;0,70;0,80;1,48;0,88;0,65;0,70;0,74;0,70;0,70;0,60;0,51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/02/2003; ;1,40;0,75;0,67;0,70;0,80;1,48;0,85;0,65;0,70;0,75;0,70;0,70;0,60;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/02/2003; ;1,43;0,76;0,67;0,70;0,80;1,48;0,85;0,65;0,70;0,75;0,70;0,70;0,60;0,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
20/02/2003; ;1,45;0,80;0,69;0,66;0,80;1,50;0,84;0,65;0,69;0,72;0,70;0,70;0,60;0,51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
21/02/2003; ;1,50;0,80;0,70;0,69;0,80;1,50;0,82;0,65;0,67;0,70;0,70;0,70;0,60;0,51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
24/02/2003; ;1,50;0,80;0,70;0,67;0,80;1,49;0,80;0,65;0,69;0,70;0,68;0,70;0,60;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
25/02/2003; ;1,58;0,82;0,70;0,67;0,80;1,49;0,80;0,65;0,65;0,70;0,68;0,70;0,60;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
26/02/2003; ;1,60;0,85;0,70;0,67;0,80;1,49;0,80;0,65;0,65;0,70;0,68;0,70;0,60;0,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
