IPCA - variação % - Mediana - Mensal - Período de 01/01/2007 a 31/12/2008 para jan/2007 a dez/2009
Data;jan/2007;fev/2007;mar/2007;abr/2007;mai/2007;jun/2007;jul/2007;ago/2007;set/2007;out/2007;nov/2007;dez/2007;jan/2008;fev/2008;mar/2008;abr/2008;mai/2008;jun/2008;jul/2008;ago/2008;set/2008;out/2008;nov/2008;dez/2008;jan/2009;fev/2009;mar/2009;abr/2009;mai/2009;jun/2009;jul/2009;ago/2009;set/2009;out/2009;nov/2009;dez/2009;
02/01/2007;0,40;0,45;0,32;0,31;0,25;0,25;0,30;0,30;0,30;0,34;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/01/2007;0,40;0,45;0,32;0,31;0,25;0,25;0,30;0,30;0,30;0,34;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/01/2007;0,40;0,44;0,32;0,31;0,25;0,25;0,31;0,30;0,30;0,33;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/01/2007;0,40;0,44;0,32;0,30;0,25;0,25;0,31;0,30;0,30;0,34;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/01/2007;0,40;0,44;0,32;0,31;0,25;0,25;0,30;0,30;0,29;0,34;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/01/2007;0,40;0,44;0,32;0,31;0,25;0,25;0,30;0,30;0,29;0,34;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/01/2007;0,41;0,45;0,31;0,30;0,25;0,25;0,31;0,30;0,30;0,35;0,35;0,35;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/01/2007;0,42;0,45;0,32;0,30;0,25;0,25;0,31;0,30;0,30;0,35;0,36;0,36;0,36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/01/2007;0,43;0,45;0,30;0,30;0,25;0,25;0,31;0,30;0,30;0,35;0,36;0,36;0,36;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/01/2007;0,43;0,45;0,31;0,30;0,25;0,24;0,30;0,30;0,30;0,35;0,36;0,36;0,36;0,39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/01/2007;0,44;0,45;0,31;0,30;0,25;0,23;0,30;0,30;0,30;0,35;0,36;0,36;0,36;0,39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/01/2007;0,45;0,45;0,32;0,30;0,25;0,23;0,30;0,30;0,30;0,35;0,36;0,36;0,36;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/01/2007;0,45;0,45;0,32;0,30;0,25;0,23;0,30;0,30;0,30;0,35;0,36;0,35;0,36;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/01/2007;0,45;0,47;0,32;0,30;0,25;0,22;0,30;0,30;0,30;0,34;0,35;0,35;0,36;0,37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
22/01/2007;0,45;0,49;0,32;0,30;0,25;0,22;0,30;0,30;0,30;0,35;0,35;0,35;0,37;0,39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
23/01/2007;0,46;0,48;0,32;0,31;0,25;0,22;0,30;0,30;0,30;0,34;0,35;0,36;0,36;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
24/01/2007;0,46;0,48;0,32;0,31;0,25;0,22;0,30;0,30;0,30;0,34;0,35;0,36;0,36;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
25/01/2007;0,46;0,48;0,31;0,31;0,25;0,22;0,30;0,30;0,30;0,34;0,35;0,36;0,36;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
26/01/2007;0,47;0,48;0,31;0,31;0,25;0,21;0,30;0,30;0,30;0,34;0,36;0,37;0,38;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
