IPCA - variação % - Mediana - Mensal - Período de 01/01/2005 a 31/12/2006 para jan/2005 a dez/2007
Data;jan/2005;fev/2005;mar/2005;abr/2005;mai/2005;jun/2005;jul/2005;ago/2005;set/2005;out/2005;nov/2005;dez/2005;jan/2006;fev/2006;mar/2006;abr/2006;mai/2006;jun/2006;jul/2006;ago/2006;set/2006;out/2006;nov/2006;dez/2006;jan/2007;fev/2007;mar/2007;abr/2007;mai/2007;jun/2007;jul/2007;ago/2007;set/2007;out/2007;nov/2007;dez/2007;
03/01/2005;0,60;0,55;0,40;0,40;0,35;0,47;0,67;0,50;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/01/2005;0,60;0,55;0,40;0,40;0,35;0,47;0,67;0,50;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/01/2005;0,60;0,57;0,40;0,40;0,35;0,47;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/01/2005;0,60;0,57;0,40;0,40;0,35;0,46;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/01/2005;0,60;0,57;0,40;0,40;0,35;0,46;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/01/2005;0,60;0,57;0,40;0,40;0,35;0,46;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/01/2005;0,60;0,57;0,40;0,40;0,35;0,46;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/01/2005;0,60;0,57;0,40;0,40;0,35;0,46;0,67;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/01/2005;0,60;0,58;0,40;0,40;0,35;0,46;0,66;0,48;0,40;0,40;0,40;0,44;0,50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,44;0,45;0,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
20/01/2005;0,61;0,60;0,40;0,40;0,35;0,46;0,65;0,48;0,40;0,40;0,40;0,45;0,48;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
21/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,49;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
24/01/2005;0,61;0,60;0,40;0,40;0,34;0,45;0,65;0,49;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
25/01/2005;0,61;0,60;0,40;0,40;0,35;0,45;0,65;0,49;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
26/01/2005;0,61;0,61;0,40;0,40;0,35;0,45;0,65;0,49;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
27/01/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,50;0,40;0,40;0,40;0,44;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
28/01/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,49;0,40;0,40;0,40;0,43;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
31/01/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,43;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
01/02/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,43;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
02/02/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,43;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/02/2005;0,60;0,65;0,40;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,42;0,45;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/02/2005;0,60;0,65;0,41;0,40;0,35;0,45;0,65;0,48;0,40;0,40;0,40;0,42;0,47;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/02/2005;0,60;0,65;0,41;0,40;0,35;0,45;0,66;0,48;0,40;0,40;0,40;0,42;0,48;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/02/2005;0,60;0,65;0,42;0,40;0,35;0,45;0,66;0,48;0,39;0,40;0,40;0,42;0,48;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/02/2005;0,60;0,65;0,43;0,40;0,35;0,45;0,66;0,48;0,39;0,40;0,40;0,42;0,48;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/02/2005; ;0,65;0,42;0,40;0,35;0,45;0,66;0,48;0,39;0,40;0,40;0,43;0,49;0,40;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/02/2005; ;0,64;0,43;0,40;0,35;0,45;0,66;0,48;0,39;0,40;0,40;0,43;0,50;0,41;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/02/2005; ;0,64;0,43;0,40;0,35;0,45;0,66;0,48;0,39;0,40;0,40;0,43;0,50;0,41;0,32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/02/2005; ;0,63;0,44;0,40;0,35;0,45;0,66;0,45;0,38;0,40;0,40;0,43;0,50;0,41;0,34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/02/2005; ;0,60;0,44;0,40;0,35;0,45;0,66;0,45;0,38;0,40;0,40;0,43;0,48;0,41;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
21/02/2005; ;0,60;0,44;0,40;0,35;0,45;0,66;0,46;0,38;0,40;0,40;0,43;0,48;0,40;0,37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
22/02/2005; ;0,60;0,44;0,40;0,35;0,46;0,66;0,46;0,38;0,40;0,40;0,43;0,48;0,40;0,37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
23/02/2005; ;0,60;0,44;0,40;0,35;0,45;0,66;0,46;0,38;0,40;0,40;0,43;0,45;0,40;0,37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
24/02/2005; ;0,57;0,45;0,40;0,37;0,45;0,65;0,46;0,38;0,40;0,40;0,43;0,48;0,40;0,39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
25/02/2005; ;0,57;0,45;0,40;0,37;0,45;0,65;0,46;0,38;0,40;0,40;0,44;0,48;0,40;0,37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
28/02/2005; ;0,58;0,45;0,40;0,37;0,45;0,65;0,45;0,38;0,39;0,40;0,44;0,49;0,41;0,39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
01/03/2005; ;0,58;0,47;0,40;0,35;0,45;0,65;0,45;0,38;0,40;0,40;0,44;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
02/03/2005; ;0,58;0,49;0,40;0,36;0,45;0,65;0,45;0,38;0,39;0,40;0,44;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/03/2005; ;0,59;0,50;0,40;0,36;0,45;0,65;0,46;0,38;0,39;0,40;0,44;0,50;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/03/2005; ;0,60;0,55;0,41;0,35;0,45;0,65;0,46;0,38;0,40;0,40;0,45;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/03/2005; ;0,60;0,56;0,40;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,44;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/03/2005; ;0,60;0,59;0,41;0,35;0,43;0,65;0,46;0,38;0,40;0,40;0,44;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/03/2005; ;0,60;0,60;0,42;0,35;0,43;0,65;0,46;0,38;0,40;0,40;0,44;0,50;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/03/2005; ;0,60;0,60;0,42;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,44;0,48;0,41;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/03/2005; ; ;0,60;0,43;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,45;0,48;0,41;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/03/2005; ; ;0,60;0,43;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,45;0,48;0,41;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/03/2005; ; ;0,60;0,45;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,45;0,48;0,41;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/03/2005; ; ;0,60;0,45;0,35;0,44;0,65;0,46;0,38;0,40;0,40;0,45;0,48;0,41;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/03/2005; ; ;0,60;0,45;0,35;0,43;0,64;0,45;0,39;0,40;0,40;0,45;0,47;0,41;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/03/2005; ; ;0,60;0,45;0,36;0,43;0,63;0,45;0,39;0,39;0,40;0,45;0,47;0,40;0,40;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
