IPCA - variação % - Mediana - Mensal - Período de 01/01/2011 a 31/12/2012 para jan/2011 a dez/2013
Data;jan/2011;fev/2011;mar/2011;abr/2011;mai/2011;jun/2011;jul/2011;ago/2011;set/2011;out/2011;nov/2011;dez/2011;jan/2012;fev/2012;mar/2012;abr/2012;mai/2012;jun/2012;jul/2012;ago/2012;set/2012;out/2012;nov/2012;dez/2012;jan/2013;fev/2013;mar/2013;abr/2013;mai/2013;jun/2013;jul/2013;ago/2013;set/2013;out/2013;nov/2013;dez/2013;
03/01/2011;0,60;0,69;0,45;0,42;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,54;0,54;0,40;0,40;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/01/2011;0,61;0,69;0,45;0,42;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,54;0,54;0,40;0,40;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/01/2011;0,61;0,69;0,45;0,42;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,54;0,54;0,40;0,40;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/01/2011;0,61;0,70;0,45;0,42;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,54;0,54;0,40;0,40;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/01/2011;0,63;0,70;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/01/2011;0,64;0,70;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/01/2011;0,65;0,70;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/01/2011;0,65;0,70;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/01/2011;0,65;0,72;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,40;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/01/2011;0,66;0,72;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,41;0,45;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/01/2011;0,70;0,74;0,45;0,43;0,40;0,31;0,32;0,32;0,35;0,41;0,46;0,45;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/01/2011;0,70;0,75;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,41;0,47;0,46;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/01/2011;0,70;0,75;0,45;0,43;0,40;0,30;0,32;0,32;0,35;0,41;0,46;0,46;0,55;0,55;0,40;0,40;0,35;0,30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
