IPCA - variação % - Mediana - Mensal - Período de 01/01/2013 a 31/12/2014 para jan/2013 a dez/2015
Data;jan/2013;fev/2013;mar/2013;abr/2013;mai/2013;jun/2013;jul/2013;ago/2013;set/2013;out/2013;nov/2013;dez/2013;jan/2014;fev/2014;mar/2014;abr/2014;mai/2014;jun/2014;jul/2014;ago/2014;set/2014;out/2014;nov/2014;dez/2014;jan/2015;fev/2015;mar/2015;abr/2015;mai/2015;jun/2015;jul/2015;ago/2015;set/2015;out/2015;nov/2015;dez/2015;
02/01/2013;0,75;0,41;0,41;0,52;0,42;0,26;0,31;0,33;0,40;0,49;0,54;0,53;0,60;0,55;0,48;0,50;0,41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/01/2013;0,75;0,41;0,41;0,52;0,42;0,26;0,31;0,33;0,40;0,49;0,54;0,53;0,60;0,55;0,48;0,50;0,41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/01/2013;0,75;0,41;0,40;0,52;0,42;0,26;0,31;0,33;0,40;0,50;0,54;0,53;0,60;0,55;0,48;0,50;0,42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/01/2013;0,76;0,41;0,40;0,52;0,42;0,26;0,31;0,33;0,40;0,50;0,55;0,54;0,60;0,55;0,47;0,50;0,42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/01/2013;0,76;0,41;0,40;0,52;0,42;0,28;0,31;0,33;0,41;0,50;0,55;0,54;0,60;0,55;0,47;0,50;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/01/2013;0,76;0,42;0,40;0,52;0,42;0,27;0,31;0,33;0,41;0,50;0,55;0,55;0,60;0,55;0,47;0,50;0,40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/01/2013;0,77;0,44;0,40;0,52;0,42;0,28;0,31;0,33;0,41;0,50;0,55;0,54;0,60;0,55;0,46;0,50;0,40;0,26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/01/2013;0,78;0,45;0,40;0,52;0,42;0,28;0,31;0,33;0,41;0,50;0,55;0,55;0,60;0,55;0,46;0,50;0,40;0,27; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/01/2013;0,80;0,45;0,40;0,52;0,42;0,28;0,30;0,33;0,41;0,50;0,55;0,55;0,60;0,55;0,46;0,50;0,40;0,33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/01/2013;0,79;0,43;0,40;0,52;0,42;0,28;0,30;0,33;0,41;0,50;0,55;0,55;0,60;0,55;0,46;0,50;0,40;0,33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
