"Index" "ipca.focus" "ipca12.focus"
2002-01-01 NA 4.72318181818182
2002-02-01 NA 4.69105263157895
2002-03-01 NA 4.7935
2002-04-01 NA 4.95136363636364
2002-05-01 NA 4.56142857142857
2002-06-01 NA 4.435
2002-07-01 NA 4.84565217391304
2002-08-01 NA 5.12181818181818
2002-09-01 NA 5.58428571428571
2002-10-01 NA 7.08608695652174
2002-11-01 NA 10.674
2002-12-01 NA 12.522380952381
2003-01-01 NA 12.0454545454545
2003-02-01 NA 11.193
2003-03-01 NA 10.1531578947368
2003-04-01 NA 9.206
2003-05-01 NA 8.4152380952381
2003-06-01 NA 7.6695
2003-07-01 NA 6.79521739130435
2003-08-01 NA 6.33904761904762
2003-09-01 NA 6.41045454545455
2003-10-01 NA 6.30727272727273
2003-11-01 NA 5.975
2003-12-01 NA 5.8675
2004-01-01 0.722727272727273 5.9815
2004-02-01 0.576 5.84166666666667
2004-03-01 0.517894736842105 5.53652173913043
2004-04-01 0.547 5.568
2004-05-01 0.427142857142857 5.72238095238095
2004-06-01 0.519 6.10857142857143
2004-07-01 0.810434782608696 6.33181818181818
2004-08-01 0.511428571428571 6.28954545454545
2004-09-01 0.4 6.24857142857143
2004-10-01 0.467272727272727 6.1965
2004-11-01 0.481 6.22315789473684
2004-12-01 0.5 6.05047619047619
2005-01-01 0.4965 5.83571428571429
2005-02-01 0.427222222222222 5.61944444444444
2005-03-01 0.346521739130435 5.56681818181818
2005-04-01 0.3605 5.616
2005-05-01 0.304761904761905 5.56809523809524
2005-06-01 0.426666666666667 5.11090909090909
2005-07-01 0.677272727272727 4.91333333333333
2005-08-01 0.5 4.82347826086956
2005-09-01 0.416190476190476 4.75333333333333
2005-10-01 0.401 4.7485
2005-11-01 0.4 4.685
2005-12-01 0.44952380952381 4.54454545454545
2006-01-01 0.472857142857143 4.56272727272727
2006-02-01 0.402777777777778 4.53055555555556
2006-03-01 0.4 4.39782608695652
2006-04-01 0.4 4.20888888888889
2006-05-01 0.366666666666667 4.13272727272727
2006-06-01 0.365454545454545 4.12333333333333
2006-07-01 0.48952380952381 4.26428571428571
2006-08-01 0.391739130434783 4.3904347826087
2006-09-01 0.302380952380952 4.2005
2006-10-01 0.35 4.01904761904762
2006-11-01 0.3795 4.1105
2006-12-01 0.4 4.1395
2007-01-01 0.4 4.07272727272727
2007-02-01 0.387222222222222 3.93444444444444
2007-03-01 0.35 3.76590909090909
2007-04-01 0.33 3.618
2007-05-01 0.3 3.425
2007-06-01 0.3 3.4265
2007-07-01 0.367142857142857 3.53727272727273
2007-08-01 0.32304347826087 3.70434782608696
2007-09-01 0.3 3.79578947368421
2007-10-01 0.334285714285714 3.80318181818182
2007-11-01 0.35 3.875
2007-12-01 0.3465 4.2145
2008-01-01 0.360909090909091 4.42136363636364
2008-02-01 0.398888888888889 4.32684210526316
2008-03-01 0.3 4.302
2008-04-01 0.309 4.42238095238095
2008-05-01 0.249090909090909 4.721
2008-06-01 0.2225 5.16238095238095
2008-07-01 0.269090909090909 5.51869565217391
2008-08-01 0.271304347826087 5.32047619047619
2008-09-01 0.293684210526316 5.14818181818182
2008-10-01 0.316818181818182 5.19260869565217
2008-11-01 0.35 5.4095
2008-12-01 0.4005 5.15636363636364
2009-01-01 0.444090909090909 4.76523809523809
2009-02-01 0.426842105263158 4.63722222222222
2009-03-01 0.35 4.34772727272727
2009-04-01 0.325714285714286 4.1955
2009-05-01 0.3045 4.1295
2009-06-01 0.322380952380952 4.06761904761905
2009-07-01 0.4 4.09521739130435
2009-08-01 0.386666666666667 4.03
2009-09-01 0.32 4.11476190476191
2009-10-01 0.35304347826087 4.25047619047619
2009-11-01 0.4 4.3205
2009-12-01 0.45 4.37590909090909
2010-01-01 0.447619047619048 4.5135
2010-02-01 0.46 4.58388888888889
2010-03-01 0.345909090909091 4.63391304347826
2010-04-01 0.3225 4.7705
2010-05-01 0.3 4.82857142857143
2010-06-01 0.296666666666667 4.76333333333333
2010-07-01 0.326086956521739 4.82681818181818
2010-08-01 0.3 4.915
2010-09-01 0.293333333333333 5.0947619047619
2010-10-01 0.35 5.274
2010-11-01 0.3695 5.3605
2010-12-01 0.429545454545455 5.51304347826087
2011-01-01 0.4925 5.49904761904762
2011-02-01 0.513333333333333 5.558
2011-03-01 0.352608695652174 5.43761904761905
2011-04-01 0.3735 5.54315789473684
2011-05-01 0.34952380952381 5.28409090909091
2011-06-01 0.3 5.0447619047619
2011-07-01 0.355 5.25857142857143
2011-08-01 0.321363636363636 5.40826086956522
2011-09-01 0.316190476190476 5.72809523809524
2011-10-01 0.37 5.6885
2011-11-01 0.407 5.6105
2011-12-01 0.45 5.40590909090909
2012-01-01 0.548095238095238 5.30272727272727
2012-02-01 0.559 5.27315789473684
2012-03-01 0.411904761904762 5.35636363636364
2012-04-01 0.411578947368421 5.48
2012-05-01 0.393181818181818 5.54409090909091
2012-06-01 0.271428571428571 5.4605
2012-07-01 0.297619047619048 5.50454545454545
2012-08-01 0.294782608695652 5.63391304347826
2012-09-01 0.346666666666667 5.65526315789474
2012-10-01 0.45 5.50863636363636
2012-11-01 0.5 5.355
2012-12-01 0.5 5.5055
2013-01-01 0.575909090909091 5.64363636363636
2013-02-01 0.57421052631579 5.49722222222222
2013-03-01 0.487272727272727 5.449
2013-04-01 0.4965 5.46136363636364
2013-05-01 0.45 5.58857142857143
2013-06-01 0.284 5.6945
2013-07-01 0.28 5.64826086956522
2013-08-01 0.299565217391304 5.93136363636364
2013-09-01 0.386842105263158 6.18
